SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
Cn1c(/N=C/c2c(O)ccc3ccccc23)nc2ccccc21;0.05;4.18;301.35;2;50.41;3.24;0;0;0;0;0;0;0.9571;0.8858;0.9691;0.9992;0.9013;0.6855;NA;NA;NA;NA;NA;NA;0.5;yellow;0.100333333
CN1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1;0.33;1.76;290.75;1;40.62;764.08;0;0;0;0;0;0;0.8978;0.9326;0.9969;0.9943;0.9957;0.9189;NA;NA;NA;NA;NA;NA;0;green;0.043966667
O=C1C(Cl)=C(NCCc2ccccc2)C(=O)c2ccccc21;0.11;3.35;311.77;4;46.17;5.34;0;0;0;0;0;0;0.9824;0.9587;0.9977;0.9933;0.9968;0.8357;NA;NA;NA;NA;NA;NA;0.5;yellow;0.039233333
CCOc1ccc2nc(C)cc(Nc3ccc(OCc4ccccc4Cl)cc3)c2c1;0.16;6.92;418.92;7;43.38;0.24;0;0;0;0;0;0;0.8379;0.8972;0.9955;0.9974;0.9766;0.6761;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.103216667
O=C1C(Cl)=C(NC(=O)c2ccccc2)C(=O)C(Cl)=C1NC(=O)c1ccccc1;0;2.9;415.23;4;92.34;0.33;0;0;0;0;0;0;0.9909;0.9584;0.9373;0.9723;0.9986;0.8702;NA;NA;NA;NA;NA;NA;0.5;yellow;0.045383333
NC(=O)C1(N2CCCCC2)CCN(C(=O)CSc2nc3ccccc3o2)CC1;0.55;2.25;402.52;5;92.67;1015.15;0;0;0;0;0;0;0.87;0.9382;0.9966;0.9994;0.9905;0.9021;NA;NA;NA;NA;NA;NA;0.166666667;yellow;0.050533333
Cc1ccc(C2=NC(=O)/C(=C/c3cc(O)c(O)c(Br)c3)S2)cc1;0.06;4.23;390.26;2;69.89;4.42;0;0;0;0;0;0;0.9517;0.6307;0.7381;0.9938;0.9982;0.7822;NA;NA;NA;NA;NA;NA;0.5;yellow;0.150883333
O=C(O)c1cc(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])ccc1O;0;2.93;350.67;4;151.62;0.75;0;0;0;0;0;1;0.9876;0.9532;0.9311;0.7646;0.8595;0.9727;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.246116667
C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2nccs2)c1;0.14;4.39;422.46;7;92.87;2.43;0;0;0;0;0;0;0.9247;0.8891;0.9977;0.9996;0.9946;0.5998;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.099083333
Cc1ccc2nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3cc2c1;0.07;3.51;283.24;2;99.17;1;0;0;0;0;0;1;0.9654;0.8486;0.9761;0.9979;0.9812;0.9095;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.19005
O=C1CC2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccc(Cl)cc3)c2N1;0.15;3.82;413.26;2;76.02;4.31;0;0;0;0;0;0;0.901;0.8498;0.9988;0.9876;0.999;0.99;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.045633333
